,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
79,District 1,10.7745397,106.69918359999998,Quán Mì Cật,10.772493597588422,106.69567031755363,Noodle House
80,District 1,10.7745397,106.69918359999998,My Spa - Traditional Vietnamese Massage,10.779046879225639,106.70367131113892,Massage Studio
81,District 1,10.7745397,106.69918359999998,Tandoor,10.77322885204423,106.70520410298867,Indian Restaurant
82,District 1,10.7745397,106.69918359999998,Au Parc,10.778903743445456,106.69779873539372,Middle Eastern Restaurant
83,District 1,10.7745397,106.69918359999998,Ngoc Chau Garden,10.773133447557084,106.70324211490131,Vietnamese Restaurant
84,District 1,10.7745397,106.69918359999998,Pullman Saigon Centre,10.764338614153994,106.69178548017501,Hotel
85,District 1,10.7745397,106.69918359999998,Basilico,10.781410991549352,106.70124327057925,Italian Restaurant
86,District 1,10.7745397,106.69918359999998,Phở Quỳnh,10.76745831322101,106.69060446092217,Vietnamese Restaurant
87,District 1,10.7745397,106.69918359999998,Ong Cao (Ông Cao),10.765837852722893,106.69089031528607,Beer Bar
88,District 1,10.7745397,106.69918359999998,Above Sky Bar,10.774758809643782,106.70071756480748,Nightclub
89,District 1,10.7745397,106.69918359999998,Carmen Bar,10.78232386869617,106.7049334420917,Cocktail Bar
90,District 1,10.7745397,106.69918359999998,Gin House,10.769592783677979,106.69002855165098,Cocktail Bar
91,District 1,10.7745397,106.69918359999998,Chicken Coop,10.766834756900762,106.69096472951325,Bar
92,District 1,10.7745397,106.69918359999998,Noir. Dining in the Dark Saigon,10.786484355854066,106.6946791134439,Asian Restaurant
93,District 1,10.7745397,106.69918359999998,Le Bourgeois @Continental,10.776408016704812,106.70273114192491,French Restaurant
94,District 1,10.7745397,106.69918359999998,Huong Lai,10.777258283440169,106.70021865994575,Vietnamese Restaurant
95,District 1,10.7745397,106.69918359999998,Sheraton Saigon Hotel & Towers,10.77544606087542,106.70387790536552,Hotel
96,District 1,10.7745397,106.69918359999998,Glow Skybar,10.776878547474666,106.69832979192665,Bar
97,District 1,10.7745397,106.69918359999998,Five Boy Number One,10.767148306045607,106.69325677095958,Juice Bar
98,District 1,10.7745397,106.69918359999998,Tomatito,10.769624,106.697844,Tapas Restaurant
99,District 1,10.7745397,106.69918359999998,Bún Thịt Nướng Chị Tuyền,10.761927,106.69362,Vietnamese Restaurant
100,District 2,10.791115699999999,106.73672930000001,District Federal - DF,10.80338,106.734146,Mexican Restaurant
101,District 2,10.791115699999999,106.73672930000001,La Villa Restaurant,10.803964718926109,106.73289077700613,French Restaurant
102,District 2,10.791115699999999,106.73672930000001,Quan bui Garden,10.805196,106.73588,Vietnamese Restaurant
